Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,principal component 1,principal component 2,principal component 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.33889541993744876,1.0012006034492429,-0.5909358850873708,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.32221956285756287,1.0012863385946187,-0.5913672788410897,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.316936337105618,1.6291442401040284,-0.6971942510387944,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.13830910473878708,-1.307721005455827,0.171627102044647,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.1504648421996288,-2.031369105481435,0.3735181167231815,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.17233498134398625,-1.1517352020340572,-0.03052981533035661,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.38586177321276655,1.220662163705964,-0.4876342346810085,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15353731191013562,-2.1840087491161757,0.4538722285971881,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.14890561391819346,-2.0314763774471767,0.3734898904457324,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.17093085050576784,-1.9075426288582382,0.49316390141376626,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.3032765150381302,2.168635827046553,-0.011176184787501688,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16104322453065623,-1.8170106213392558,0.3855007513724734,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.30369917754657383,0.8451865289350131,-0.388805642666863,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.26108673022112394,0.6243251712797762,-0.07109633223691125,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.17348217611939812,-1.1517221067407828,-0.030502133206756776,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.24906752082459377,2.0499107301797066,-0.6437712573463539,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.22065632747234334,-0.932249837791047,0.0728036557356436,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.17309840438138066,-1.1517422599994676,-0.030509736972765922,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3385547213108765,1.0011981110346424,-0.5909442529464308,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3311261748400402,1.0014188554327077,-0.5911556000835428,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09257166406691217,-1.8104665639506259,0.391237251791089,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5505678757613137,-1.3514322042247602,-0.07852279502296915,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.13539160775808576,-1.3077460909316054,0.1715558388298574,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.170351530648538,-1.1517989033466287,-0.03057336355949297,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.1729022799873456,-1.1517626488244475,-0.030512563015547577,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.33739074778305367,1.0012428724042515,-0.5909784373627048,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.22343546200238093,-0.4828738033078183,0.03527913188627516,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.21337755220818067,-1.094565637831988,0.17623090482713627,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.17295107352105357,-1.151726730273202,-0.030515100014638,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3388913529091842,1.0012003580308042,-0.5909359623235221,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.17346442702345174,-1.1517216081370172,-0.03050263515288451,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3388756211519415,1.0012004402651897,-0.5909363694361491,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.17355095316595223,-1.1517183843465602,-0.03050078213359529,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.22074574522844156,-0.9322509109003682,0.07280603334644382,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6818259935681837,0.09939613878799153,-0.3432281294414864,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3797015658348922,1.0583736583196368,-0.38418152007486445,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.18481433095498837,-1.813145126788024,0.38449261161483517,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23985173971647922,-1.3121900323845888,0.16251797509860397,3,DevCoin
